,FTDATE,LASTTRADE_DATE,LASTDELIVERY_DATE
T1509.CFE,2015-03-20,2015-09-11,2015-09-16
T1512.CFE,2015-03-20,2015-12-11,2015-12-16
T1603.CFE,2015-03-20,2016-03-11,2016-03-16
T1606.CFE,2015-09-14,2016-06-13,2016-06-16
T1609.CFE,2015-12-14,2016-09-09,2016-09-14
T1612.CFE,2016-03-14,2016-12-09,2016-12-14
T1703.CFE,2016-06-14,2017-03-10,2017-03-15
T1706.CFE,2016-09-12,2017-06-09,2017-06-14
T1709.CFE,2016-12-12,2017-09-08,2017-09-13
T1712.CFE,2017-03-13,2017-12-08,2017-12-13
T1803.CFE,2017-06-12,2018-03-09,2018-03-14
T1806.CFE,2017-09-11,2018-06-08,2018-06-13
T1809.CFE,2017-12-11,2018-09-14,2018-09-19
T1812.CFE,2018-03-12,2018-12-14,2018-12-19
T1903.CFE,2018-06-11,2019-03-08,2019-03-13
T1906.CFE,2018-09-17,2019-06-14,2019-06-19
T1909.CFE,2018-12-17,2019-09-16,2019-09-19
T1912.CFE,2019-03-11,2019-12-13,2019-12-18
T2003.CFE,2019-06-17,2020-03-13,2020-03-18
T2006.CFE,2019-09-17,2020-06-12,2020-06-17
T2009.CFE,2019-12-16,2020-09-11,2020-09-16
T2012.CFE,2020-03-16,2020-12-11,2020-12-16
T2103.CFE,2020-06-15,2021-03-12,2021-03-17
T2106.CFE,2020-09-14,2021-06-11,2021-06-17
T2109.CFE,2020-12-14,2021-09-10,2021-09-15
T2112.CFE,2021-03-15,2021-12-10,2021-12-15
T2203.CFE,2021-06-15,2022-03-11,2022-03-16
T2206.CFE,2021-09-13,2022-06-10,2022-06-15
T2209.CFE,2021-12-13,2022-09-09,2022-09-15
T2212.CFE,2022-03-14,2022-12-09,2022-12-14
T2303.CFE,2022-06-13,2023-03-10,2023-03-15
T2306.CFE,2022-09-13,2023-06-09,2023-06-14
