,,adf,granger,spearman,trend,rolling,extent,zscore,event,pass
000905.SH,Growth,0,0,1,1,1,0,0,2,1
000905.SH,Inflation,0,0,1,0,0,0,1,1,1
000905.SH,Rate,0,0,1,0,1,0,1,2,1
000905.SH,Credit,0,0,1,0,1,1,1,3,1
000905.SH,ExRate,0,0,1,1,1,0,1,3,1
000905.SH,d_Growth,1,1,0,0,0,0,0,0,1
000905.SH,d_Inflation,1,1,0,0,0,0,0,0,1
000905.SH,d_Rate,1,0,1,0,0,0,0,0,0
000905.SH,d_Credit,1,0,0,1,0,0,1,2,1
000905.SH,d_ExRate,1,1,0,0,0,0,0,0,1
NH0100.NHF,Growth,0,0,1,0,1,0,0,1,1
NH0100.NHF,Inflation,0,0,1,1,1,0,1,3,1
NH0100.NHF,Rate,0,0,1,1,1,0,1,3,1
NH0100.NHF,Credit,0,0,0,0,1,0,0,1,0
NH0100.NHF,ExRate,0,0,1,0,1,0,1,2,1
NH0100.NHF,d_Growth,1,0,0,1,0,0,0,1,0
NH0100.NHF,d_Inflation,1,1,0,0,0,0,0,0,1
NH0100.NHF,d_Rate,1,0,0,0,1,0,0,1,0
NH0100.NHF,d_Credit,1,0,0,0,0,0,0,0,0
NH0100.NHF,d_ExRate,1,0,0,0,0,0,1,1,0
Bond,Growth,0,0,1,0,1,1,1,3,1
Bond,Inflation,0,0,1,1,1,0,1,3,1
Bond,Rate,0,0,1,1,1,0,1,3,1
Bond,Credit,0,0,1,0,0,0,0,0,0
Bond,ExRate,0,0,0,0,1,0,0,1,0
Bond,d_Growth,1,1,0,0,0,0,0,0,1
Bond,d_Inflation,1,0,1,1,0,1,1,3,1
Bond,d_Rate,1,1,0,0,0,0,0,0,1
Bond,d_Credit,1,1,0,0,0,0,0,0,1
Bond,d_ExRate,1,0,0,0,0,0,1,1,0
